word,frequency
Rassismus,360
Trump,343
Polizei,225
Biden,209
USA,197
Polizisten,160
Deutschland,132
Polizeigewalt,120
Joe,99
Donald,96
Leben,87
Präsident,82
Gewalt,77
Familie,76
Blake,74
Kenosha,70
Studie,67
Berlin,67
Tod,66
Protesten,63
Frauen,61
Wahl,61
George,59
Floyd,58
Gesellschaft,58
Proteste,56
Demonstranten,55
Beamten,55
Kinder,53
Angst,52
US-Präsident,52
Demokraten,52
Wisconsin,52
Schwarzen,51
Schwarze,51
Präsidenten,51
Debatte,50
Schüsse,48
Männer,47
Medien,47
Sinti,45
Seehofer,44
Leute,44
Spieler,42
Problem,42
Jacob,42
Eltern,41
Politik,40
Vater,40
Europa,38
