word,frequency
Trump,3732
Biden,1439
Donald,858
USA,723
Präsident,697
Wahl,673
Demokraten,621
Joe,565
US-Präsident,559
Republikaner,478
Rassismus,466
Polizei,429
Präsidenten,417
Harris,381
Weißen,380
New,340
Polizisten,316
Post,291
Briefwahl,283
Herausforderer,264
York,264
Coronavirus,251
Parteitag,250
Dollar,223
Obama,213
Debatte,205
Regierung,203
Washington,201
Pence,198
Polizeigewalt,189
Russland,188
Gewalt,182
Kenosha,181
Maske,180
Amerika,177
US-Wahl,175
Bidens,170
Virus,169
Conway,166
Leben,164
Wähler,161
Deutschland,160
Familie,160
Partei,158
Hauses,156
Demonstranten,156
Kritik,152
Newsletter,152
Tod,148
Wisconsin,146
